random,clustering_coeff,clustering_coeff_neg,community_detection,truncate_svd_sum10,truncate_svd_max50,degree,degree_neg,agg1,agg2,agg_max,eps,deg_cutoff_rate,dataset,synthetic_algo,iter,non_private
0.5068,0.3636,0.6363,0.4957,0.0,0.2649,0.0,1.0,0.0066,0.1229,0.2876,5.0,1.0,yelp,sbm_dp,1,False
0.4951,0.0304,0.179,0.367,0.0,0.0,0.302,0.4037,0.0,0.0,0.0,5.0,1.0,yelp,attr_graph_simp,1,False
0.5123,0.3595,0.6218,0.3807,0.0,0.0,0.0352,0.9647,0.3788,0.9561,0.0,5.0,1.0,yelp,attr_graph,1,False
0.501,0.5071,0.4913,0.3122,0.5078,0.4992,0.4943,0.4757,0.5126,0.5096,0.4996,5.0,1.0,yelp,topmfilter,1,False
0.4758,0.0,0.0001,0.5939,0.092,0.1863,0.0567,0.8002,0.0,0.0,0.0,5.0,1.0,elliptic,sbm_dp,1,False
0.5895,0.0,0.0,0.3427,0.0,0.0,0.0,0.3452,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph_simp,1,False
0.5505,0.0,0.0,0.0418,0.0,0.0,0.0,0.0441,0.0,0.0,0.0,5.0,1.0,elliptic,attr_graph,1,False
0.517,0.0,0.0001,0.3142,0.4777,0.4031,0.3707,0.3787,0.0,0.0,0.0,5.0,1.0,elliptic,topmfilter,1,False
0.512,0.4486,0.5512,0.4194,0.0,0.3481,0.0,1.0,0.0077,0.0,0.3843,5.0,1.0,amazon_sbm,sbm_dp,1,False
0.4903,0.2328,0.5119,0.5891,0.0,0.0,0.1108,0.8705,0.0224,0.7443,0.0,5.0,1.0,amazon_sbm,attr_graph_simp,1,False
0.5127,0.3079,0.4767,0.4615,0.0,0.0,0.2441,0.7415,0.2451,0.6359,0.0,5.0,1.0,amazon_sbm,attr_graph,1,False
0.4954,0.4957,0.5017,0.2658,0.4863,0.4927,0.4674,0.4987,0.4846,0.4958,0.4912,5.0,1.0,amazon_sbm,topmfilter,1,False
0.6067,0.0634,0.0038,0.0668,0.9157,0.1646,0.8999,0.062,0.6316,0.0451,0.1385,5.0,1.0,peer_review_sbm,sbm_dp,1,False
0.4629,0.0,0.0,0.2781,0.457,0.4477,0.3908,0.4128,0.1617,0.146,0.1576,5.0,1.0,peer_review_sbm,topmfilter,1,False
